{'loss': 7.4971, 'grad_norm': 6.497195720672607, 'learning_rate': 1.9982222222222224e-05, 'epoch': 0.0}
{'loss': 7.276, 'grad_norm': 18.922168731689453, 'learning_rate': 1.996222222222222e-05, 'epoch': 0.01}
{'loss': 7.34, 'grad_norm': 10.02414608001709, 'learning_rate': 1.9940000000000002e-05, 'epoch': 0.01}
{'loss': 7.1981, 'grad_norm': 14.702655792236328, 'learning_rate': 1.991777777777778e-05, 'epoch': 0.01}
{'loss': 7.012, 'grad_norm': 9.55810260772705, 'learning_rate': 1.989777777777778e-05, 'epoch': 0.02}
{'loss': 6.9213, 'grad_norm': 11.769510269165039, 'learning_rate': 1.987777777777778e-05, 'epoch': 0.02}
{'loss': 6.7884, 'grad_norm': 12.256784439086914, 'learning_rate': 1.9855555555555558e-05, 'epoch': 0.02}
{'loss': 6.6362, 'grad_norm': 10.418243408203125, 'learning_rate': 1.9833333333333335e-05, 'epoch': 0.03}
{'loss': 6.4482, 'grad_norm': 19.845359802246094, 'learning_rate': 1.9811111111111113e-05, 'epoch': 0.03}
{'loss': 6.4726, 'grad_norm': 16.563278198242188, 'learning_rate': 1.978888888888889e-05, 'epoch': 0.03}
{'loss': 6.2656, 'grad_norm': 62.62796401977539, 'learning_rate': 1.9766666666666668e-05, 'epoch': 0.04}
{'loss': 6.1147, 'grad_norm': 13.2217378616333, 'learning_rate': 1.9744444444444446e-05, 'epoch': 0.04}
{'loss': 5.9981, 'grad_norm': 29.00849151611328, 'learning_rate': 1.9722222222222224e-05, 'epoch': 0.04}
{'loss': 5.8902, 'grad_norm': 51.66259002685547, 'learning_rate': 1.97e-05, 'epoch': 0.05}
{'loss': 5.995, 'grad_norm': 73.57818603515625, 'learning_rate': 1.967777777777778e-05, 'epoch': 0.05}
{'loss': 5.607, 'grad_norm': 30.02122688293457, 'learning_rate': 1.9655555555555556e-05, 'epoch': 0.05}
{'loss': 5.4148, 'grad_norm': 42.70399856567383, 'learning_rate': 1.9633333333333334e-05, 'epoch': 0.06}
{'loss': 5.2814, 'grad_norm': 37.45732116699219, 'learning_rate': 1.961111111111111e-05, 'epoch': 0.06}
{'loss': 5.2101, 'grad_norm': 31.330713272094727, 'learning_rate': 1.958888888888889e-05, 'epoch': 0.06}
{'loss': 5.1856, 'grad_norm': 107.21691131591797, 'learning_rate': 1.956666666666667e-05, 'epoch': 0.07}
{'loss': 4.9595, 'grad_norm': 18.0096378326416, 'learning_rate': 1.9544444444444444e-05, 'epoch': 0.07}
{'loss': 4.9757, 'grad_norm': 102.84408569335938, 'learning_rate': 1.9522222222222225e-05, 'epoch': 0.07}
{'loss': 4.691, 'grad_norm': 63.92359161376953, 'learning_rate': 1.95e-05, 'epoch': 0.08}
{'loss': 4.5973, 'grad_norm': 13.05028247833252, 'learning_rate': 1.948e-05, 'epoch': 0.08}
{'loss': 4.4635, 'grad_norm': 121.8084945678711, 'learning_rate': 1.945777777777778e-05, 'epoch': 0.08}
{'loss': 4.461, 'grad_norm': 78.78919982910156, 'learning_rate': 1.9435555555555555e-05, 'epoch': 0.09}
{'loss': 4.3153, 'grad_norm': 120.38204956054688, 'learning_rate': 1.9413333333333336e-05, 'epoch': 0.09}
{'loss': 4.2638, 'grad_norm': 148.83950805664062, 'learning_rate': 1.939111111111111e-05, 'epoch': 0.09}
{'loss': 4.2203, 'grad_norm': 8.227774620056152, 'learning_rate': 1.937111111111111e-05, 'epoch': 0.1}
{'loss': 3.8951, 'grad_norm': 21.064687728881836, 'learning_rate': 1.934888888888889e-05, 'epoch': 0.1}
{'loss': 3.9472, 'grad_norm': 39.89219665527344, 'learning_rate': 1.932666666666667e-05, 'epoch': 0.1}
{'loss': 3.8257, 'grad_norm': 16.548227310180664, 'learning_rate': 1.930666666666667e-05, 'epoch': 0.11}
{'loss': 3.6087, 'grad_norm': 47.01572036743164, 'learning_rate': 1.9284444444444447e-05, 'epoch': 0.11}
{'loss': 3.5833, 'grad_norm': 24.15546417236328, 'learning_rate': 1.9262222222222225e-05, 'epoch': 0.11}
{'loss': 3.4278, 'grad_norm': 31.465810775756836, 'learning_rate': 1.9240000000000002e-05, 'epoch': 0.12}
{'loss': 3.295, 'grad_norm': 8.792227745056152, 'learning_rate': 1.921777777777778e-05, 'epoch': 0.12}
{'loss': 3.2366, 'grad_norm': 7.673079967498779, 'learning_rate': 1.9195555555555557e-05, 'epoch': 0.12}
{'loss': 3.2096, 'grad_norm': 17.99419403076172, 'learning_rate': 1.9173333333333335e-05, 'epoch': 0.13}
{'loss': 3.167, 'grad_norm': 3.393158197402954, 'learning_rate': 1.9151111111111113e-05, 'epoch': 0.13}
{'loss': 3.0819, 'grad_norm': 4.141489505767822, 'learning_rate': 1.912888888888889e-05, 'epoch': 0.13}
{'loss': 2.9901, 'grad_norm': 22.231840133666992, 'learning_rate': 1.9106666666666668e-05, 'epoch': 0.14}
{'loss': 3.0156, 'grad_norm': 13.375170707702637, 'learning_rate': 1.9084444444444445e-05, 'epoch': 0.14}
{'loss': 2.9706, 'grad_norm': 9.205552101135254, 'learning_rate': 1.9062222222222223e-05, 'epoch': 0.14}
{'loss': 2.8971, 'grad_norm': 26.822227478027344, 'learning_rate': 1.904e-05, 'epoch': 0.15}
{'loss': 2.9078, 'grad_norm': 8.087942123413086, 'learning_rate': 1.9017777777777778e-05, 'epoch': 0.15}
{'loss': 2.864, 'grad_norm': 7.887101650238037, 'learning_rate': 1.899555555555556e-05, 'epoch': 0.15}
{'loss': 2.9168, 'grad_norm': 3.970947265625, 'learning_rate': 1.8973333333333334e-05, 'epoch': 0.16}
{'loss': 2.862, 'grad_norm': 5.983753204345703, 'learning_rate': 1.8951111111111115e-05, 'epoch': 0.16}
{'loss': 2.782, 'grad_norm': 6.909891605377197, 'learning_rate': 1.892888888888889e-05, 'epoch': 0.16}
{'loss': 2.9536, 'grad_norm': 3.8466320037841797, 'learning_rate': 1.890666666666667e-05, 'epoch': 0.17}
{'loss': 2.7417, 'grad_norm': 13.708989143371582, 'learning_rate': 1.8884444444444444e-05, 'epoch': 0.17}
{'loss': 2.7311, 'grad_norm': 11.576445579528809, 'learning_rate': 1.8862222222222225e-05, 'epoch': 0.17}
{'loss': 2.6619, 'grad_norm': 3.9170079231262207, 'learning_rate': 1.884e-05, 'epoch': 0.18}
{'loss': 2.7669, 'grad_norm': 3.783723831176758, 'learning_rate': 1.881777777777778e-05, 'epoch': 0.18}
{'loss': 2.5703, 'grad_norm': 3.159014940261841, 'learning_rate': 1.8795555555555558e-05, 'epoch': 0.18}
{'loss': 2.7179, 'grad_norm': 8.2709379196167, 'learning_rate': 1.8773333333333335e-05, 'epoch': 0.19}
{'loss': 2.7278, 'grad_norm': 1.9818224906921387, 'learning_rate': 1.8751111111111113e-05, 'epoch': 0.19}
{'loss': 2.7271, 'grad_norm': 7.001123428344727, 'learning_rate': 1.872888888888889e-05, 'epoch': 0.19}
{'loss': 2.6051, 'grad_norm': 63.010337829589844, 'learning_rate': 1.8706666666666668e-05, 'epoch': 0.2}
{'loss': 2.6316, 'grad_norm': 2.5925521850585938, 'learning_rate': 1.8684444444444446e-05, 'epoch': 0.2}
{'loss': 2.6299, 'grad_norm': 1.902937889099121, 'learning_rate': 1.8662222222222223e-05, 'epoch': 0.2}
{'loss': 2.5482, 'grad_norm': 5.64184045791626, 'learning_rate': 1.864e-05, 'epoch': 0.21}
{'loss': 2.5954, 'grad_norm': 9.287568092346191, 'learning_rate': 1.861777777777778e-05, 'epoch': 0.21}
{'loss': 2.6505, 'grad_norm': 3.715440511703491, 'learning_rate': 1.8595555555555556e-05, 'epoch': 0.21}
{'loss': 2.6204, 'grad_norm': 2.353245496749878, 'learning_rate': 1.8573333333333334e-05, 'epoch': 0.22}
{'loss': 2.6224, 'grad_norm': 3.729339599609375, 'learning_rate': 1.855111111111111e-05, 'epoch': 0.22}
{'loss': 2.6303, 'grad_norm': 2.7210958003997803, 'learning_rate': 1.852888888888889e-05, 'epoch': 0.22}
{'loss': 2.6219, 'grad_norm': 2.935340642929077, 'learning_rate': 1.8506666666666667e-05, 'epoch': 0.23}
{'loss': 2.5819, 'grad_norm': 3.5126144886016846, 'learning_rate': 1.8484444444444444e-05, 'epoch': 0.23}
{'loss': 2.579, 'grad_norm': 3.231025457382202, 'learning_rate': 1.8462222222222222e-05, 'epoch': 0.23}
{'loss': 2.6148, 'grad_norm': 5.153367042541504, 'learning_rate': 1.8440000000000003e-05, 'epoch': 0.24}
{'loss': 2.6078, 'grad_norm': 4.276012420654297, 'learning_rate': 1.8417777777777777e-05, 'epoch': 0.24}
{'loss': 2.5839, 'grad_norm': 2.0618107318878174, 'learning_rate': 1.8395555555555558e-05, 'epoch': 0.24}
{'loss': 2.5733, 'grad_norm': 3.179903030395508, 'learning_rate': 1.8373333333333332e-05, 'epoch': 0.25}
{'loss': 2.6633, 'grad_norm': 3.5188260078430176, 'learning_rate': 1.8351111111111113e-05, 'epoch': 0.25}
{'loss': 2.6354, 'grad_norm': 2.824902057647705, 'learning_rate': 1.832888888888889e-05, 'epoch': 0.25}
{'loss': 2.5276, 'grad_norm': 2.4218878746032715, 'learning_rate': 1.830666666666667e-05, 'epoch': 0.26}
{'loss': 2.5559, 'grad_norm': 1.9530364274978638, 'learning_rate': 1.8284444444444446e-05, 'epoch': 0.26}
{'loss': 2.5962, 'grad_norm': 2.0874030590057373, 'learning_rate': 1.8262222222222224e-05, 'epoch': 0.26}
{'loss': 2.5311, 'grad_norm': 1.8729523420333862, 'learning_rate': 1.824e-05, 'epoch': 0.27}
{'loss': 2.52, 'grad_norm': 3.717729091644287, 'learning_rate': 1.821777777777778e-05, 'epoch': 0.27}
{'loss': 2.572, 'grad_norm': 2.1624271869659424, 'learning_rate': 1.8195555555555557e-05, 'epoch': 0.27}
{'loss': 2.6028, 'grad_norm': 2.6812448501586914, 'learning_rate': 1.8173333333333334e-05, 'epoch': 0.28}
{'loss': 2.5426, 'grad_norm': 3.3210694789886475, 'learning_rate': 1.8151111111111112e-05, 'epoch': 0.28}
{'loss': 2.5373, 'grad_norm': 4.538242340087891, 'learning_rate': 1.8128888888888893e-05, 'epoch': 0.28}
{'loss': 2.4827, 'grad_norm': 2.1361212730407715, 'learning_rate': 1.8106666666666667e-05, 'epoch': 0.29}
{'loss': 2.5861, 'grad_norm': 3.209096908569336, 'learning_rate': 1.8084444444444448e-05, 'epoch': 0.29}
{'loss': 2.4133, 'grad_norm': 2.4549150466918945, 'learning_rate': 1.8062222222222222e-05, 'epoch': 0.29}
{'loss': 2.5086, 'grad_norm': 2.1112780570983887, 'learning_rate': 1.8040000000000003e-05, 'epoch': 0.3}
{'loss': 2.5371, 'grad_norm': 2.3545150756835938, 'learning_rate': 1.8017777777777778e-05, 'epoch': 0.3}
{'loss': 2.5155, 'grad_norm': 4.013969898223877, 'learning_rate': 1.799555555555556e-05, 'epoch': 0.3}
{'loss': 2.5114, 'grad_norm': 4.047931671142578, 'learning_rate': 1.7973333333333333e-05, 'epoch': 0.31}
{'loss': 2.5392, 'grad_norm': 2.6138832569122314, 'learning_rate': 1.7951111111111114e-05, 'epoch': 0.31}
{'loss': 2.5043, 'grad_norm': 2.637573480606079, 'learning_rate': 1.792888888888889e-05, 'epoch': 0.31}
{'loss': 2.4285, 'grad_norm': 1.313553810119629, 'learning_rate': 1.790666666666667e-05, 'epoch': 0.32}
{'loss': 2.4925, 'grad_norm': 2.994910478591919, 'learning_rate': 1.7884444444444447e-05, 'epoch': 0.32}
{'loss': 2.5092, 'grad_norm': 3.215186595916748, 'learning_rate': 1.7862222222222224e-05, 'epoch': 0.32}
{'loss': 2.4893, 'grad_norm': 1.6895712614059448, 'learning_rate': 1.7840000000000002e-05, 'epoch': 0.33}
{'loss': 2.5497, 'grad_norm': 3.426598072052002, 'learning_rate': 1.781777777777778e-05, 'epoch': 0.33}
{'loss': 2.5269, 'grad_norm': 2.005260944366455, 'learning_rate': 1.7795555555555557e-05, 'epoch': 0.33}
{'loss': 2.4377, 'grad_norm': 3.165987014770508, 'learning_rate': 1.7773333333333335e-05, 'epoch': 0.34}
{'loss': 2.5443, 'grad_norm': 2.9173569679260254, 'learning_rate': 1.7751111111111112e-05, 'epoch': 0.34}
{'loss': 2.5374, 'grad_norm': 4.151655197143555, 'learning_rate': 1.772888888888889e-05, 'epoch': 0.34}
{'loss': 2.5903, 'grad_norm': 5.604780673980713, 'learning_rate': 1.7706666666666668e-05, 'epoch': 0.35}
{'loss': 2.531, 'grad_norm': 2.5137717723846436, 'learning_rate': 1.7684444444444445e-05, 'epoch': 0.35}
{'loss': 2.5547, 'grad_norm': 2.5288219451904297, 'learning_rate': 1.7662222222222223e-05, 'epoch': 0.35}
{'loss': 2.5564, 'grad_norm': 3.436358690261841, 'learning_rate': 1.764e-05, 'epoch': 0.36}
{'loss': 2.5663, 'grad_norm': 2.202767848968506, 'learning_rate': 1.761777777777778e-05, 'epoch': 0.36}
{'loss': 2.5103, 'grad_norm': 4.394512176513672, 'learning_rate': 1.7595555555555556e-05, 'epoch': 0.36}
{'loss': 2.4772, 'grad_norm': 2.143399477005005, 'learning_rate': 1.7573333333333337e-05, 'epoch': 0.37}
{'loss': 2.4849, 'grad_norm': 1.7813680171966553, 'learning_rate': 1.755111111111111e-05, 'epoch': 0.37}
{'loss': 2.4453, 'grad_norm': 1.7243211269378662, 'learning_rate': 1.7528888888888892e-05, 'epoch': 0.37}
{'loss': 2.4203, 'grad_norm': 2.8563969135284424, 'learning_rate': 1.7506666666666666e-05, 'epoch': 0.38}
{'loss': 2.5579, 'grad_norm': 3.956327438354492, 'learning_rate': 1.7484444444444447e-05, 'epoch': 0.38}
{'loss': 2.4776, 'grad_norm': 2.6350207328796387, 'learning_rate': 1.746222222222222e-05, 'epoch': 0.38}
{'loss': 2.4934, 'grad_norm': 2.7436611652374268, 'learning_rate': 1.7440000000000002e-05, 'epoch': 0.39}
{'loss': 2.4705, 'grad_norm': 5.360779285430908, 'learning_rate': 1.741777777777778e-05, 'epoch': 0.39}
{'loss': 2.5092, 'grad_norm': 2.043025016784668, 'learning_rate': 1.7395555555555558e-05, 'epoch': 0.39}
{'loss': 2.4524, 'grad_norm': 2.080105781555176, 'learning_rate': 1.7373333333333335e-05, 'epoch': 0.4}
{'loss': 2.5431, 'grad_norm': 2.1146254539489746, 'learning_rate': 1.7351111111111113e-05, 'epoch': 0.4}
{'loss': 2.5411, 'grad_norm': 4.213046550750732, 'learning_rate': 1.732888888888889e-05, 'epoch': 0.4}
{'loss': 2.3925, 'grad_norm': 4.6052961349487305, 'learning_rate': 1.7306666666666668e-05, 'epoch': 0.41}
{'loss': 2.4912, 'grad_norm': 4.137409687042236, 'learning_rate': 1.7284444444444446e-05, 'epoch': 0.41}
{'loss': 2.4944, 'grad_norm': 3.786926507949829, 'learning_rate': 1.7262222222222223e-05, 'epoch': 0.41}
{'loss': 2.445, 'grad_norm': 2.592897415161133, 'learning_rate': 1.724e-05, 'epoch': 0.42}
{'loss': 2.5171, 'grad_norm': 2.5040884017944336, 'learning_rate': 1.721777777777778e-05, 'epoch': 0.42}
{'loss': 2.4426, 'grad_norm': 2.235030174255371, 'learning_rate': 1.7195555555555556e-05, 'epoch': 0.42}
{'loss': 2.5461, 'grad_norm': 5.703556537628174, 'learning_rate': 1.7173333333333334e-05, 'epoch': 0.43}
{'loss': 2.4528, 'grad_norm': 1.7909809350967407, 'learning_rate': 1.715111111111111e-05, 'epoch': 0.43}
{'loss': 2.4676, 'grad_norm': 1.9935840368270874, 'learning_rate': 1.712888888888889e-05, 'epoch': 0.43}
{'loss': 2.476, 'grad_norm': 3.787102699279785, 'learning_rate': 1.7106666666666667e-05, 'epoch': 0.44}
{'loss': 2.5357, 'grad_norm': 2.679945468902588, 'learning_rate': 1.7084444444444444e-05, 'epoch': 0.44}
{'loss': 2.4955, 'grad_norm': 2.9768483638763428, 'learning_rate': 1.7062222222222225e-05, 'epoch': 0.44}
{'loss': 2.5039, 'grad_norm': 2.3725838661193848, 'learning_rate': 1.704e-05, 'epoch': 0.45}
{'loss': 2.4935, 'grad_norm': 2.059357166290283, 'learning_rate': 1.701777777777778e-05, 'epoch': 0.45}
{'loss': 2.4478, 'grad_norm': 2.9946887493133545, 'learning_rate': 1.6995555555555555e-05, 'epoch': 0.45}
{'loss': 2.4815, 'grad_norm': 3.663297653198242, 'learning_rate': 1.6973333333333336e-05, 'epoch': 0.46}
{'loss': 2.5711, 'grad_norm': 2.3125956058502197, 'learning_rate': 1.695111111111111e-05, 'epoch': 0.46}
{'loss': 2.5391, 'grad_norm': 1.996311902999878, 'learning_rate': 1.692888888888889e-05, 'epoch': 0.46}
{'loss': 2.4756, 'grad_norm': 2.0443687438964844, 'learning_rate': 1.690666666666667e-05, 'epoch': 0.47}
{'loss': 2.4338, 'grad_norm': 1.9711941480636597, 'learning_rate': 1.6884444444444446e-05, 'epoch': 0.47}
{'loss': 2.5078, 'grad_norm': 1.8792821168899536, 'learning_rate': 1.6862222222222224e-05, 'epoch': 0.47}
{'loss': 2.5333, 'grad_norm': 3.2087645530700684, 'learning_rate': 1.684e-05, 'epoch': 0.48}
{'loss': 2.431, 'grad_norm': 2.616163730621338, 'learning_rate': 1.681777777777778e-05, 'epoch': 0.48}
{'loss': 2.4627, 'grad_norm': 1.9660227298736572, 'learning_rate': 1.6795555555555557e-05, 'epoch': 0.48}
{'loss': 2.4331, 'grad_norm': 2.484513521194458, 'learning_rate': 1.6773333333333334e-05, 'epoch': 0.49}
{'loss': 2.4856, 'grad_norm': 5.877009868621826, 'learning_rate': 1.6751111111111112e-05, 'epoch': 0.49}
{'loss': 2.4781, 'grad_norm': 2.4336447715759277, 'learning_rate': 1.672888888888889e-05, 'epoch': 0.49}
{'loss': 2.4659, 'grad_norm': 2.4831290245056152, 'learning_rate': 1.670666666666667e-05, 'epoch': 0.5}
{'loss': 2.4934, 'grad_norm': 1.7525670528411865, 'learning_rate': 1.6684444444444445e-05, 'epoch': 0.5}
{'loss': 2.4752, 'grad_norm': 3.259368658065796, 'learning_rate': 1.6662222222222226e-05, 'epoch': 0.5}
{'loss': 2.4458, 'grad_norm': 2.96933913230896, 'learning_rate': 1.664e-05, 'epoch': 0.51}
{'loss': 2.31, 'grad_norm': 3.231419801712036, 'learning_rate': 1.661777777777778e-05, 'epoch': 0.51}
{'loss': 2.5037, 'grad_norm': 2.481318950653076, 'learning_rate': 1.6595555555555555e-05, 'epoch': 0.51}
